question,ai_response,reference_answer
"What is reinforcement learning from human feedback (RLHF) and how does it work?","RLHF works by collecting a dataset of human comparisons between different model responses. A reward model is trained using Bradley-Terry preference modeling to assign scalar scores to outputs. The base model is then optimized using PPO with a KL-divergence penalty to prevent the policy from drifting too far from the original model.","Reinforcement Learning from Human Feedback (RLHF) aligns AI models with human intent. It trains a reward model from human preference rankings and uses reinforcement learning algorithms (like PPO) to fine-tune the generative model."
"What are the primary clinical signs and symptoms of acute severe dehydration?","Patients exhibit dry mouth and feel thirsty.","Primary signs of acute severe dehydration include extreme thirst, dark or absent urine, dry mouth and tongue, sunken eyes, lack of sweat or tears, low blood pressure, rapid heart rate, dizziness, confusion, and poor skin elasticity."
"Who discovered penicillin, in what year was it discovered, and which university was it at?","Sir Alexander Fleming discovered penicillin in 1928 at St. Mary's Hospital Medical School in London after observing that a Penicillium notatum mold had contaminated a Petri dish containing Staphylococcus bacteria.","Sir Alexander Fleming discovered penicillin in September 1928 at St. Mary's Hospital Medical School in London (now part of Imperial College London), NOT Oxford University."
"What is Amdahl's Law and what is its mathematical formula?","Amdahl's Law defines the maximum theoretical speedup achievable by parallelizing a computation. Its formula is S(s) = 1 / ((1 - p) + (p / s)), where p is the parallel portion of execution time and s is the speedup factor of that portion. As s approaches infinity, speedup is strictly capped at 1 / (1 - p).","Amdahl's Law predicts the theoretical speedup in latency of the execution of a task at fixed workload that can be expected of a system whose resources are improved. The formula is S_latency(s) = 1 / ((1 - p) + (p / s)), where p is the proportion of execution time that the part benefiting from improved resources originally occupied, and s is the speedup of that part."
"What are the core differences between TCP and UDP protocols?","TCP is for reliable transfer; UDP is fast without guarantees.","TCP is connection-oriented, provides guaranteed delivery, ordered packet arrival, error checking, and flow control with higher latency overhead. UDP is connectionless, does not guarantee delivery or packet ordering, has minimal overhead, and offers lower latency suited for real-time applications."
"Explain the working principle of Transformer attention mechanism.","The Transformer attention mechanism calculates pairwise similarities between words using dot products of Query and Key vectors. These scores are divided by the square root of the head dimension d_k and passed through a softmax activation to form normalized attention weights, which are then used to compute a weighted sum over the Value vectors. Multi-head attention allows the model to capture diverse contextual dependencies simultaneously.","Scaled Dot-Product Attention computes compatibility scores between queries (Q) and keys (K), scales them by sqrt(d_k), applies softmax to obtain weights, and outputs a weighted sum of values (V). Multi-head attention allows the model to jointly attend to information from different representation subspaces."
"What was the Apollo 11 moon landing date and who were the astronauts?","Apollo 11 landed on the moon on July 20, 1969. The astronauts were Neil Armstrong, Buzz Aldrin, and John Glenn. Armstrong and Aldrin walked on the lunar surface while Glenn orbited above.","Apollo 11 landed on the lunar surface on July 20, 1969. The crew consisted of Neil Armstrong, Edwin 'Buzz' Aldrin, and Michael Collins."
"What causes the Northern Lights (Aurora Borealis)?","The Aurora Borealis is created when energetic solar wind particles (primarily electrons and protons) ejected from the Sun's corona collide with oxygen and nitrogen atoms in Earth's thermosphere and exosphere. Earth's geomagnetic field channels these charged particles toward polar regions, causing atoms to excite and emit vibrant green and red photons upon relaxation.","Auroras are caused by charged particles (electrons and protons) from solar wind colliding with gaseous atoms and molecules (oxygen and nitrogen) in Earth's upper atmosphere, guided by Earth's magnetic field."
"How does HTTPS establish a secure TLS 1.3 connection?","In TLS 1.3, HTTPS completes the handshake in one round trip. The client sends a ClientHello with Diffie-Hellman key shares. The server replies with its own key share, its digital certificate for authentication, and finishes handshake encryption. Symmetrical session keys are generated via HKDF.","TLS 1.3 establishes security in a 1-RTT handshake. The client sends supported ciphers and key shares in ClientHello; the server selects cipher, sends ServerHello with its key share, encrypts subsequent handshake messages with derived ephemeral keys, authenticates with certificates, and switches to symmetric traffic encryption."
"Can you state Newton's three laws of motion?","1. An object in motion stays in motion unless acted upon by a net force. 2. Force equals mass times acceleration (F=ma). 3. Action and reaction are equal and opposite.","Newton's First Law: An object remains at rest or in uniform straight-line motion unless acted on by an unbalanced net force. Second Law: F = dp/dt (or F = ma for constant mass). Third Law: For every action force, there is an equal and opposite reaction force."
