question,ai_response,reference_answer
"What is reinforcement learning from human feedback (RLHF) and how does it work?","RLHF is a machine learning technique where an initial language model is fine-tuned using human preferences. First, human annotators rank multiple model outputs. A reward model is trained on these pairwise comparisons. Finally, Proximal Policy Optimization (PPO) optimizes the policy model against the reward model.","Reinforcement Learning from Human Feedback (RLHF) aligns AI models with human intent. It trains a reward model from human preference rankings and uses reinforcement learning algorithms (like PPO) to fine-tune the generative model."
"What are the primary clinical signs and symptoms of acute severe dehydration?","Clinical symptoms of acute severe dehydration include extreme unquenchable thirst, oliguria or anuria (very dark or absent urine), dry mucous membranes, sunken eyes, skin tenting (delayed skin turgor), tachycardia, orthostatic hypotension, lethargy, and confusion.","Primary signs of acute severe dehydration include extreme thirst, dark or absent urine, dry mouth and tongue, sunken eyes, lack of sweat or tears, low blood pressure, rapid heart rate, dizziness, confusion, and poor skin elasticity."
"Who discovered penicillin, in what year was it discovered, and which university was it at?","Sir Alexander Fleming discovered penicillin in September 1928 at Oxford University while investigating staphylococcus cultures.","Sir Alexander Fleming discovered penicillin in September 1928 at St. Mary's Hospital Medical School in London (now part of Imperial College London), NOT Oxford University."
"What is Amdahl's Law and what is its mathematical formula?","Amdahl's law is a computer architecture formula.","Amdahl's Law predicts the theoretical speedup in latency of the execution of a task at fixed workload that can be expected of a system whose resources are improved. The formula is S_latency(s) = 1 / ((1 - p) + (p / s)), where p is the proportion of execution time that the part benefiting from improved resources originally occupied, and s is the speedup of that part."
"What are the core differences between TCP and UDP protocols?","TCP is a connection-oriented protocol that ensures reliable, ordered, and error-checked delivery of packets using a three-way handshake (SYN, SYN-ACK, ACK) and flow control mechanisms like sliding windows. In contrast, UDP is a connectionless, lightweight protocol that provides low-latency, best-effort datagram delivery without guarantees of order, delivery, or flow control, making it ideal for streaming and gaming.","TCP is connection-oriented, provides guaranteed delivery, ordered packet arrival, error checking, and flow control with higher latency overhead. UDP is connectionless, does not guarantee delivery or packet ordering, has minimal overhead, and offers lower latency suited for real-time applications."
"Explain the working principle of Transformer attention mechanism.","The Transformer attention mechanism uses Scaled Dot-Product Attention: Attention(Q, K, V) = softmax(Q K^T / sqrt(d_k)) V. Queries and Keys are multiplied to compute attention affinities, scaled by the square root of key dimension d_k to prevent gradient vanishing, normalized via softmax, and multiplied by Value vectors. Multi-Head Attention projects Q, K, V across multiple representation subspaces.","Scaled Dot-Product Attention computes compatibility scores between queries (Q) and keys (K), scales them by sqrt(d_k), applies softmax to obtain weights, and outputs a weighted sum of values (V). Multi-head attention allows the model to jointly attend to information from different representation subspaces."
"What was the Apollo 11 moon landing date and who were the astronauts?","Apollo 11 landed on the Moon on July 20, 1969. Commander Neil Armstrong and Lunar Module Pilot Buzz Aldrin landed the Eagle on the Sea of Tranquility, while Michael Collins remained in lunar orbit aboard the Command Module Columbia.","Apollo 11 landed on the lunar surface on July 20, 1969. The crew consisted of Neil Armstrong, Edwin 'Buzz' Aldrin, and Michael Collins."
"What causes the Northern Lights (Aurora Borealis)?","The Northern Lights are caused by nuclear radiation released by deep sea hydrothermal vents interacting with cosmic ray particles in the lower troposphere.","Auroras are caused by charged particles (electrons and protons) from solar wind colliding with gaseous atoms and molecules (oxygen and nitrogen) in Earth's upper atmosphere, guided by Earth's magnetic field."
"How does HTTPS establish a secure TLS 1.3 connection?","HTTPS relies on TLS 1.3, which reduces the handshake to a single round-trip time (1-RTT). The client sends ClientHello with supported cryptographic suites and key share predictions. The server responds with ServerHello, its chosen key share, server certificate, and generates session keys via ECDHE. Data encryption begins immediately using symmetric AES-GCM or ChaCha20-Poly1305.","TLS 1.3 establishes security in a 1-RTT handshake. The client sends supported ciphers and key shares in ClientHello; the server selects cipher, sends ServerHello with its key share, encrypts subsequent handshake messages with derived ephemeral keys, authenticates with certificates, and switches to symmetric traffic encryption."
"Can you state Newton's three laws of motion?","Newton's first law states an object remains at rest or in uniform motion unless acted upon by an external net force. Newton's second law states that force equals mass times acceleration (F = m*a). Newton's third law states that for every action, there is an equal and opposite reaction.","Newton's First Law: An object remains at rest or in uniform straight-line motion unless acted on by an unbalanced net force. Second Law: F = dp/dt (or F = ma for constant mass). Third Law: For every action force, there is an equal and opposite reaction force."
